"ENSG_id","Symbol"
"ENSG00000237938.4","RP11-288I21.1"
"ENSG00000224459.1","RP11-169K16.4"
"ENSG00000179743.3","FLJ37453"
"ENSG00000233078.1","RP11-5P18.5"
"ENSG00000227959.1","RP11-276H7.2"
"ENSG00000224621.1","RP11-276H7.3"
"ENSG00000234166.1","ARHGEF19-AS1"
"ENSG00000226029.1","RP4-798A10.2"
"ENSG00000261135.1","RP4-798A10.7"
"ENSG00000224174.2","RP4-798A10.4"
"ENSG00000233421.4","RP5-875O13.1"
"ENSG00000271732.1","RP5-1182A14.5"
"ENSG00000215908.6","CROCCP2"
"ENSG00000279151.1","RP1-163M9.7"
"ENSG00000223643.5","RP11-108M9.1"
"ENSG00000230239.1","RP11-108M9.2"
"ENSG00000228549.3","RP11-108M9.3"
"ENSG00000238142.1","RP11-108M9.4"
"ENSG00000272426.1","RP11-108M9.6"
"ENSG00000226526.1","RP1-37C10.3"
"ENSG00000204362.5","RP11-380J14.1"
"ENSG00000227751.1","RP1-20B21.4"
"ENSG00000236648.1","RP11-473A10.2"
"ENSG00000261781.1","RP11-174G17.2"
"ENSG00000280222.1","RP11-174G17.3"
"ENSG00000230035.2","RP11-174G17"
"ENSG00000225387.1","RP11-422P22.1"
"ENSG00000272084.1","RP5-1126H10.2"
"ENSG00000230424.1","RP1-43E13.2"
"ENSG00000235185.1","RP5-1056L3.1"
"ENSG00000235434.1","RP11-91K11.2"
"ENSG00000227066.1","RP3-340N1.2"
"ENSG00000225986.1","UBXN10-AS1"
"ENSG00000228105.1","RP3-340N1.6"
"ENSG00000226664.1","RP4-745E8.2"
"ENSG00000236963.4","LINC01141"
"ENSG00000226487.1","RP4-749H3.2"
"ENSG00000117242.7","PINK1-AS"
"ENSG00000233069.1","RP5-930J4.2"
"ENSG00000236936.1","RP3-329E20.2"
"ENSG00000231105.1","RP5-1071N3.1"
"ENSG00000236009.1","RP11-293F5.1"
"ENSG00000233431.1","RP11-63N8.3"
"ENSG00000228397.1","RP1-224A6.3"
"ENSG00000218510.5","LINC00339"
"ENSG00000230068.2","CDC42-IT1"
"ENSG00000271840.1","RP1-224A6.9"
"ENSG00000279625.1","RP11-415K20.2"
"ENSG00000237200.1","ZBTB40-IT1"
"ENSG00000225952.1","RP11-69E9.1"
"ENSG00000240553.1","RP1-184J9.2"
"ENSG00000261326.2","LINC01355"
"ENSG00000249087.5","ZNF436-AS1"
"ENSG00000271420.1","RP5-1057J7.7"
