logFC AveExpr t P.Value adj.P.Val B Symbol ENSG_id
ENSG00000271941.1 -3.192917913147 -0.242412098011343 -25.6042786411903 1.59956376582114e-100 5.48344837024752e-99 218.628603868866 RP11-188P20.3 ENSG00000271941.1
ENSG00000214049.6 6.81106387619824 -1.36980340965233 25.270749570594 1.6010046760761e-98 5.03573738835894e-97 214.033351745538 UCA1 ENSG00000214049.6
ENSG00000260837.1 -2.75036375976338 0.120867599241061 -24.5820604180188 7.43231483709954e-95 2.0841904933815e-93 205.604385769468 RP11-434B12.1 ENSG00000260837.1
ENSG00000224660.1 -2.95206608148943 1.42976717288589 -24.2076806850003 8.81496110705259e-93 2.29867062714679e-91 200.83787609836 SH3BP5-AS1 ENSG00000224660.1
ENSG00000237886.1 -4.54625298647598 0.572391398804391 -24.200864491654 2.01932956805679e-92 5.17728950600105e-91 200.015541519995 LINC01573 ENSG00000237886.1
ENSG00000243479.3 6.59542283697225 -1.82388643506391 24.1236429745391 2.57395729630994e-92 6.5661736714395e-91 199.768394105809 MNX1-AS1 ENSG00000243479.3
ENSG00000227051.5 -3.23455531095656 0.707271373062704 -24.0259330063468 8.94519674259797e-92 2.22972183510347e-90 198.525167843733 C14orf132 ENSG00000227051.5
ENSG00000249042.5 1.94388411766605 0.712376574469333 23.9339551857469 2.88887830537315e-91 7.16582740625487e-90 197.355141157036 CTD-2015H6.3 ENSG00000249042.5
ENSG00000257151.1 -3.7312522083135 -0.765231437926427 -23.9075806282252 4.04299594430251e-91 9.94772631134433e-90 197.019687229859 PWAR6 ENSG00000257151.1
ENSG00000224078.12 -2.90945433008289 2.55641615459466 -23.8611713703502 7.42638093600311e-91 1.8097354820883e-89 196.412950842732 SNHG14 ENSG00000224078.12
ENSG00000180139.11 -3.92008985737507 1.968601978535 -23.8686307663235 1.40114780818152e-90 3.39277933552526e-89 195.784358122016 ACTA2-AS1 ENSG00000180139.11
