logFC AveExpr t P.Value adj.P.Val B Symbol
ENSG00000165244.6 2.64889971077673 0.506316645491534 29.9976991489236 9.18234234618223e-125 7.78203513838944e-123 274.343629609184 ZNF367
ENSG00000169679.14 4.56872886708669 1.04425333520698 30.048118904225 9.38866386493353e-125 7.91293189279343e-123 274.324299238127 BUB1
ENSG00000184451.5 -3.41453415257684 -0.399468477708732 -29.9931153715118 9.72807138143269e-125 8.15394114965691e-123 274.286001439832 CCR10
ENSG00000087586.17 3.77834948463327 2.6041556454154 29.9350211078807 2.51003184724171e-124 2.09237900708591e-122 273.3408064922 AURKA
ENSG00000124766.5 2.79525821140041 3.08941677664257 29.8721285456334 4.46734607354622e-124 3.70376980173628e-122 272.764412925014 SOX4
ENSG00000139910.19 -4.89183306951904 -0.18069792775254 -29.8575436659198 5.36889653116092e-124 4.42716305853297e-122 272.580919576118 NOVA1
ENSG00000143590.13 3.72464574697107 2.12473520611513 29.8561485893042 5.94629544906534e-124 4.87692134814471e-122 272.479330944985 EFNA3
ENSG00000111247.14 3.30703690564702 1.57049373448186 29.8055126276091 1.03453569170865e-123 8.43948768824357e-122 271.926197561872 RAD51AP1
ENSG00000156802.12 2.55270327768199 1.87987031058645 29.7895712630301 1.26484473151207e-123 1.02634076485195e-121 271.725566528135 ATAD2
ENSG00000065328.16 4.43814880191441 -0.66814159103471 29.7520867934156 2.02919369349067e-123 1.63784919546032e-121 271.253737074932 MCM10
ENSG00000174371.16 4.59436024938585 -0.0682122633397339 29.7137093223596 3.29262311604597e-123 2.64362977027796e-121 270.770571189379 EXO1
ENSG00000104332.11 -5.3124808210542 0.30218401828208 -29.7733072811007 3.53391121933527e-123 2.82250343722302e-121 270.703619445361 SFRP1
ENSG00000130513.6 4.24141332428387 4.5156135385733 29.727992239633 4.75829580594311e-123 3.78061471456574e-121 270.405469737904 GDF15
ENSG00000169248.12 6.93869384219428 -1.55736424450595 29.6731165256727 5.49466070383138e-123 4.34305953559315e-121 270.259409817524 CXCL11
ENSG00000133119.12 2.62173867578392 2.42999806411383 29.6544051645413 6.95779970085704e-123 5.4711976513698e-121 270.023752470768 RFC3
