"ENSG_id","logFC","adj.P.Val","logrank.pvalue","beta","HR","CI","wald.test.test","HR.pvalue.pvalue","wald.test","HR.pvalue","Symbol"
"ENSG00000272645.2",-0.694455662296223,5.57361603531697e-10,0.0584843698778993,0.18,1.2,"(0.987-1.46)","3.35","0.0671",3.35,0.0671,"RP11-504P24.8"
"ENSG00000272667.1",-0.777406785051901,1.23099371214479e-16,0.250986376261188,0.29,1.3,"(1-1.79)","3.97","0.0464",3.97,0.0464,"RP11-395A13.2"
"ENSG00000272669.1",-0.907984546544399,2.41608073808178e-15,0.153961344091699,0.19,1.2,"(0.991-1.47)","3.49","0.0618",3.49,0.0618,"RP3-508I15.21"
"ENSG00000272686.1",-0.296303169215704,0.000992843124134625,0.976181894230295,0.0085,1,"(0.77-1.32)","0","0.951",0,0.951,"RP11-390E23.6"
"ENSG00000272720.1",-0.67498290249166,1.69826046978195e-08,0.290788014025608,0.15,1.2,"(0.97-1.4)","2.69","0.101",2.69,0.101,"CTA-228A9.3"
"ENSG00000272760.1",-0.808628664778422,2.21699193258386e-17,0.881911556005202,-0.0036,1,"(0.821-1.21)","0","0.971",0,0.971,"RP11-5C23.1"
"ENSG00000272763.1",4.72367413222256,2.27748706282593e-45,0.551076517557037,-0.034,0.97,"(0.846-1.1)","0.25","0.618",0.25,0.618,"RP11-357H14.17"
"ENSG00000272821.1",-0.0521444115441589,0.616989444547029,0.230237915902382,0.22,1.2,"(0.968-1.61)","2.94","0.0867",2.94,0.0867,"CTA-384D8.36"
"ENSG00000272842.1",-0.580388698719092,3.04350122018108e-08,0.661655112347904,0.02,1,"(0.921-1.13)","0.15","0.702",0.15,0.702,"RP11-513M16.7"
"ENSG00000272849.1",-1.95924235055722,1.04830442360269e-45,0.13077054169287,0.2,1.2,"(1.01-1.48)","4.32","0.0378",4.32,0.0378,"RP11-347I19.8"
"ENSG00000272913.1",-0.231855190614459,0.15223091473273,0.450265915369598,0.071,1.1,"(0.983-1.17)","2.48","0.116",2.48,0.116,"RP11-440D17.3"
"ENSG00000272990.1",-1.36584961631183,4.02466783836774e-32,0.573074465956657,0.036,1,"(0.911-1.18)","0.3","0.581",0.3,0.581,"RP11-305K5.1"
"ENSG00000273014.1",0.429607062580062,9.85009803073773e-06,0.702807436095312,-0.0068,0.99,"(0.867-1.14)","0.01","0.922",0.01,0.922,"RP11-225B17.2"
"ENSG00000273015.2",-0.756048764728551,3.20551967238451e-19,0.480020305814057,0.13,1.1,"(0.816-1.59)","0.59","0.443",0.59,0.443,"RP11-352M15.2"
"ENSG00000273055.1",-1.89024362683696,1.70648470548656e-43,0.205728430783876,0.14,1.1,"(0.972-1.36)","2.66","0.103",2.66,0.103,"CTB-13F3.1"
"ENSG00000273058.2",-1.09268933169988,6.307377463866e-27,0.0232400149601725,0.12,1.1,"(0.887-1.43)","0.95","0.33",0.95,0.33,"RP11-385F5.5"
"ENSG00000273084.1",0.885579728341383,1.83999845975263e-21,0.743292193434488,0.058,1.1,"(0.872-1.29)","0.34","0.561",0.34,0.561,"RP11-1275H24.3"
