"group","CTD.3128G10.6","AP006621.5","RP11.540B6.6","RP11.395A13.2","MFI2.AS1","BX470102.3","RP11.268J15.5","RP5.1021I20.1","EIF3J.AS1","RP11.44M6.7","ARRDC1.AS1","RP11.81A1.6","RP11.347I19.8","STARD7.AS1","CASC9","RP13.516M14.1","AC156455.1","RP11.199F11.2","RP5.997D16.2","CTC.524C5.2","LINC00174","RP11.20I20.4","LINC00261","RP3.402G11.28","AC113189.5","LBX2.AS1","RP11.458F8.4","CTD.2537I9.12","RP11.196G18.22","RP11.157P1.4","RP11.449P15.2","AC114730.3","RP13.516M14.10","RP11.122K13.12","KMT2E.AS1","RP11.644F5.11"
"NonTumor",0.849698052305542,1.09181124463535,0.763227198278096,1.39033391283898,1.18778919359408,0.181185544762641,0.460891590576557,0.977970416385252,0.405862537145216,1.08724100738103,0.988504293789476,0.948370124956737,0.845995379833624,0.911326986506817,-0.518210902654866,1.16369226607627,0.889383613561306,0.78175798453108,1.0364366745003,0.906342982175661,0.714119251957716,1.23124075140675,0.600850865196851,0.627215106927375,1.40089830604262,-0.233422355491464,0.639865711489945,0.643993448130713,0.894374826074003,1.15063096451066,0.126421950222965,0.247288795097318,0.761857094657998,0.677745284351175,1.13194904801961,1.17942502348539
"Tumor",-0.630772765676481,-0.360172410475404,0.257605109688855,-0.0348074798165375,0.178378424448041,-0.0835911225040298,0.527030959975289,-1.12044904207757,-0.0383888007318124,-0.0762139465429051,-0.18995282325115,-1.06967968222897,-0.521150153560538,-0.0892214037203419,0.941790353238258,-0.155495624136572,0.535039752945389,0.58806493788338,-0.96044197766896,-0.023808298561206,-0.937009174619537,-0.326893141176379,-0.014687035858449,-1.16048072395703,-0.0624899232716303,0.637399060944147,-0.361366359739003,-0.54284624186589,-0.576655274953418,-0.267745869063103,0.0689130332159506,0.215135807169871,-0.346618616780717,-0.308358582608287,0.142963944697493,0.0721500238806265
"Tumor",-0.0947575670456292,-0.142660711934867,-0.454695180313721,-0.735176050685248,-1.21165101911123,0.22119030410272,0.997948747474748,0.0840318450305417,-0.475030399212247,-0.394783814423225,-0.491727018715365,-1.16805942428589,-0.122587020413393,-0.491646631786538,0.243099858236034,-0.221619222425199,-1.09352703889982,0.0456935029145498,0.125972356185923,-0.747851050443124,-0.302143718781361,-0.250567578726043,0.617100517984423,-0.42598631661503,-0.7120750107269,0.602598508596919,-0.176837964782776,0.0570327435908381,-0.101683419636367,-0.465930728536544,0.608464641750995,0.416318766114024,-0.51047323133477,-0.706203770545227,-1.00930003039063,-0.233722893462847
"NonTumor",-0.748003642675349,0.743805822306592,0.319600906849918,0.507769222102277,0.754508105039605,-0.137938537213838,0.513200574241807,0.491239584699215,0.360379037303504,0.321930894691419,0.446954268173458,0.22719154683753,0.832699219351986,0.498067608473279,-1.99462115173412,0.348483663679326,1.06319374286937,-1.51683069947998,0.0222325169511765,1.00287313942362,0.234822909702573,0.7028072120064,-1.67138786017317,0.761566953157474,0.853185826070416,-0.664611477717781,0.297005620393431,0.506490390236079,0.849281566902321,1.00088221928916,0.277419722056769,-3.47896364487899,0.824505906067007,-0.172688970209809,-0.398248520123748,0.713555756315984
"Tumor",-0.0307546801547033,-0.513268205627866,-0.106783042969805,-0.304675035345782,-0.725564022099045,0.342470110537931,0.070354361745951,-0.986095242256799,-0.223821530855715,-0.607186224215464,-0.409306619684561,-0.153081132368862,-0.164030294817852,0.104134011462567,1.10461634913788,-0.454978053061758,0.709301467462392,-0.557250468381283,-0.21369634013815,-1.02692306367308,-0.937009174619537,-0.885559844359627,0.216205518418113,-0.379268632217097,-1.24469797875255,0.590117297839473,-0.300552594630574,-0.329147221953209,-0.345061323667499,-1.75579108614994,-0.435395931307103,1.2334145512713,-0.665961230688584,-0.39868598244201,-0.00562464509546407,-0.37024197211328
"NonTumor",1.49202556586184,0.557937023675987,0.759548832068292,-0.0274527740603982,0.169338282510988,0.584467266335032,1.40211096027052,0.452994237721215,0.22051727529024,0.974796642997846,0.488123786346791,0.833395312946194,1.08757803761692,0.182803604919117,0.43390983981254,0.638871729516105,-2.06895109021296,0.510726788823009,1.22144693800891,0.495124512299364,0.985661904554503,0.330953671405611,0.650705958757423,0.858390637525058,-0.0842040989995969,0.93129486483857,1.01093763208055,0.740825816528647,0.412646837849696,0.105094820726618,1.09168700337148,0.977635348458707,0.933171101077323,1.01656229005158,1.35125970567188,-0.655645382559962
"NonTumor",-0.314780959354166,-1.04242258227294,-0.708195918272679,-0.461046108865514,-1.28296769439243,-0.64499358881427,-0.936730508322316,-0.386175511504805,-0.437156638767129,-0.555216139836683,-0.167496722429332,-0.477764048098313,-0.430167958651915,-0.444893858504047,0.467614798789448,-0.366750100044363,-0.0816249379310804,-0.788260524016155,-0.0328537906948721,-0.776210944917352,-1.26158035869987,-0.852403981700725,1.13616762785516,-0.511002234596322,-0.399390880244182,-0.000243970987669938,-1.39498445972392,-0.393519672623627,-0.944393160289031,-0.852858212355281,-0.168274384747597,0.987882643461707,-0.325954085262058,-0.530785341882634,-0.771445902051062,0.173996264318128
"NonTumor",1.24283811959402,0.171840463430438,0.861546861760969,-0.00940031447714755,0.396633279785468,0.954353099178886,0.663417734139134,0.59106117802529,0.482222335917936,1.4940925250892,0.451673303853405,0.842920734264867,0.999544587976403,0.649745708016056,0.291949874437433,0.64493463824171,-0.504409045768764,1.72588603799534,1.1775953378433,1.12030706865493,0.990584977769156,0.601375187080247,0.543463517669917,0.714849268759541,0.377019714937482,0.690774591653926,0.753000905277459,1.00680008337181,1.15134355560461,0.312977110872207,0.923289097674013,0.482203833330036,1.0756555659633,0.948548971204453,0.970757320140484,-0.689482730695473
"Tumor",0.325032411619434,-1.00014341348572,-0.0289242915289643,-0.246505998910862,0.624645748642254,0.232298831300843,-1.2968682754417,-0.523623595061663,0.369125864196141,-0.687571120962384,-0.194102320142138,-0.67980716434985,-1.5171826915761,0.170993405405168,0.40696804694613,0.227288644466455,-0.664420738136954,0.490561697010066,0.231252437575246,-0.412991263576073,-0.0620384051410007,-0.472213562338883,-0.120928687957417,-0.607055847243061,-0.946956145465684,0.690774591653926,0.385455463373619,-0.253389167762853,-0.392589933073191,-0.479405053259951,-0.0969043441542756,0.899789504124438,-0.267286976267621,-0.902210657931449,-0.219877992560295,-0.143322867085999
"Tumor",0.671409426869764,0.330586776423959,-0.379901734047716,-0.199369021110152,0.00223915099196576,0.151656548413198,1.48872203924505,-0.404555556897145,0.393004701613039,0.024958983955527,-0.286693054690069,0.215880109021606,-0.456384984762886,-0.00596437739473787,0.965960356715119,0.658070940480521,-0.0282375310073568,1.1140570645597,-0.0105655806933459,-0.222793567536478,0.657996217310672,-0.510591952497526,0.398006739151672,-1.55049638150769,-0.476752231736022,1.01719496240451,0.30801687017046,0.456514159400967,0.568352133456444,-0.605420612889085,0.693843264692179,0.599526961692258,-0.173439762395075,0.168032170401456,-0.761251006911297,-0.706693826290326
"NonTumor",-1.08762838927501,-1.2966958851206,-1.98566184988569,-0.295565229352382,-1.99921957500832,-1.23487044446147,-1.26831742964536,1.07872029483215,-1.20792702454629,-0.879252990619187,-0.773730081934283,-1.25386263350799,-2.20348974933997,-0.85893407617487,0.611481755264564,-1.3034694981503,-0.678369703479807,-1.36339057557,-0.280017355264643,-1.75569246463404,-1.89743042918098,-1.15962275535518,0.147941174778915,-4.96869073599467,-0.336530181696103,1.1207155928045,-1.41398426326075,-1.90090789248925,-1.33318504119609,-1.15648987061114,-0.792909698700712,0.480826328100125,-1.24890262470032,-1.12422088769405,-0.213536286134772,-0.514364010468235
"Tumor",-0.0102105436218135,0.157481500446099,0.0296230373104083,-0.207810217489357,1.044940601557,1.36093925605705,-0.194408517617295,-0.350467477190394,-0.0536082795250005,-0.154978996503993,-0.358210854046512,0.215880109021606,-1.20472292025762,-0.50121191734329,0.947356106332471,-0.0883615410603435,-0.555889759588069,0.842871347075289,0.193924215946673,0.170050886201588,0.208800951282265,-1.02273503914639,1.18346807583973,0.453281574245842,0.62073373471815,0.510310967878635,0.653107998803496,-0.354272183566918,-0.442239653973022,-0.638493955391992,0.282285861188132,1.04681298915109,-0.537185918419866,-1.26131860127567,0.582548557180602,-0.176408274151833
"NonTumor",0.506481673444887,1.52530567806532,0.685291814207884,0.968190517676947,1.26412816995142,-0.61905025630726,0.431108334170296,0.359361211867309,0.842154262549944,0.462182628898051,0.792338862335116,0.503131095662834,0.677112696296698,0.695424826797278,-0.588791747670325,1.03340288377499,1.14287344418034,0.330090832276411,0.533774117230108,0.806484198815705,0.817785107934836,1.02852044084343,-0.324457564363174,0.653859588468614,1.13178974176653,-0.217930970374871,0.297005620393431,0.732560306281,1.05628633679323,0.965410038672619,0.257807706769761,-0.144964218542125,0.319232909787594,0.384389499647449,0.429785679613882,1.90855721404985
"NonTumor",1.3709157260211,0.519114642273886,1.02669017805527,0.348055100511573,0.0610000735828113,0.736822826071324,0.389959513250381,-0.0808315924280215,-0.119646822564409,0.816524113298831,0.482347035773062,0.836595259170436,0.86068549262382,0.328137382408946,0.0359695807338667,0.400334164343092,-0.246955300537912,0.240313680220317,0.736180056837464,0.723601408626942,0.616501743072882,0.474597134196639,0.216205518418113,0.780716069949154,0.0815597102864392,0.318393997761217,0.375235872077291,0.885718569015549,0.404633749982951,0.660145128935134,0.791018588557878,0.7942591644378,0.882164989133705,1.21643695147548,0.29115116066605,-0.172732117811185
"NonTumor",-0.630772765676481,1.47079480006922,0.944080203593435,1.09088038188163,1.16260594105515,0.13351730779854,0.451032305697243,0.125990332491843,0.504001934880602,1.16236140207399,0.764350098991981,1.03119664001676,1.32385295391763,1.13484233267989,-0.630945120706576,1.07944309691005,1.31026102829457,0.282034559833303,0.779216234685939,1.43732541956167,0.868633421280467,1.176188603726,-1.67138786017317,0.920920461257675,0.807549253354011,-0.602132005043748,0.941847437401148,1.14107357103723,0.940175122410397,1.83287073185073,1.30756663029012,-3.47896364487899,1.17519812632757,0.902016674320414,0.933830928295664,1.16238102590602
"Tumor",0.676653209970817,-1.69927866212594,0.0473251746950876,-0.881183675184966,-0.315744254285968,2.14612933041557,1.21601695817347,-1.94581828584066,-0.724839775265956,-0.136485745699076,-0.462761903162585,-0.435346156288598,-0.164030294817852,0.00077036447685251,0.833646218415641,-0.979798589621922,-1.45835771159004,1.25938479521161,-0.0217096856941089,0.559366996260935,-0.483523801932647,-0.664680470288034,0.569958089313835,-0.364329240832703,-1.01835529955425,-0.293479004900816,-0.347548320803123,0.64295341703995,0.0282542993008486,0.213706044254684,0.365894978990638,0.858161968030282,0.194489701229834,0.411285405263288,-0.5742108047408,-0.854408471978187
"Tumor",0.264549324344283,0.0598937334969832,-0.687505108342535,-0.203631407400642,-0.201451031224653,0.637830381166525,1.07435820528943,-0.90118809653865,-0.0293795690323965,-0.394783814423225,-0.0574943734760784,-0.253693395047344,0.337524468511654,-0.338699667833171,0.931745388490535,0.545717663159157,0.572170092347226,1.01670834546273,-0.438934104625118,-0.0779317591423019,-0.0689307076415148,-0.35257456080813,0.582994682717154,0.00150616468341581,0.00662740218111712,0.727557453944985,0.491753606645984,0.139249938239621,0.098565217347286,0.114281860310759,0.693843264692179,0.829603932776018,0.293629051223011,-0.358818157745967,-0.110704312323439,0.249608116324641
"NonTumor",0.707613080060591,0.67420473784084,0.832579727858766,0.188675283727965,1.07055433704531,0.82393336530218,0.710112402803663,0.199758056760089,0.62593270176396,0.386049829963941,0.564360621383181,0.760689558037261,0.98726708495102,0.914840764874603,-0.460402463146447,0.968163459675515,1.05105111836228,-0.295027013924843,-0.378864660596615,1.13615132894804,0.776360963314399,1.40118850408179,-0.651768236719638,0.951569315747308,0.256082797239011,-0.936481615569654,0.645191413996482,1.03865787783625,1.25237131047357,1.50392367562968,0.782023604102935,-0.33136419453113,1.40391920933166,0.995378789168313,-0.000326510613381185,-0.121683674080821
"Tumor",0.208591693717985,-1.48269763711217,-0.471401093516578,-0.365769238842802,0.25356944627369,0.827026879205455,-0.957065283385901,-0.368166780160795,0.685236188096039,-0.418946528978555,-0.208666240602665,-0.424927726721299,-0.769541732235642,-0.155007143161675,0.836861494107517,-0.459019992212161,-0.411282140458208,0.706042314122326,-0.850722374775268,-0.228185941837915,-0.432534829352312,-0.790548174341413,0.918601369057548,-1.81149935675943,-0.0539514677311421,0.640776329737338,-0.0875244943690958,-0.476284252057022,-0.586239556519524,-1.17379212849461,-0.318682321535174,0.891054105105487,-0.822558058562912,-0.927023915988539,0.319488152668705,0.0932043738316112
"Tumor",0.650146963884676,0.504888632650514,-0.010302562591834,-0.35139413213762,0.549885209765989,1.71669335493367,0.834791276173322,-0.545097924190087,-0.277527047976505,-0.104088809982433,-0.348772782686617,-0.819265285843544,-0.201452552947621,0.11652984070448,0.767544585053692,-0.36308709268931,0.720591097685924,0.265500729764453,-0.485775586620196,-0.028202085029044,0.332932725908872,-0.0794699117391321,0.502773544320164,0.110342967896182,-0.585543932501902,0.492763853931403,1.03842977204672,-0.25984830822128,-0.107968194433813,-0.199506580596456,-0.183167719664798,0.0361945180355089,0.0519548350474717,-0.0928938166017572,-0.312515071231864,-0.0900186001466013
"Tumor",-0.768906942434338,-0.675670736047955,-0.400745809236603,-0.0757598186859489,-0.00127645976133279,-0.068545395792647,0.278905623845886,1.05551316681152,-0.00847465275899443,-0.631213951538641,-0.206550810815103,-0.31709698069976,-0.311038649820471,-0.321716405722204,0.730158689767465,-0.0776882954913101,0.382052719382951,-1.16676161517175,-0.150637014280173,-0.593269653801913,0.0302340528250663,0.45044893364738,0.561319700149615,-0.394516052289829,0.0251764607690752,0.318393997761217,0.0430271859938507,-0.303091706205659,0.0282542993008486,0.303636953961664,0.25286783825762,0.461205277996019,-0.339663237879315,-0.272418036165883,-0.878692987930798,0.330734202842126
"NonTumor",0.840790804298275,-0.396202771297216,0.391329047941087,0.0189320179243433,-0.547846311161897,-0.274404684628763,0.489784772653436,-0.0808315924280215,-0.416514127300506,0.642255596589724,0.287971583369717,0.533121289345843,0.455367052135198,0.00077036447685251,0.0469680410315945,0.401913046823718,-0.406465231562835,-0.141200585573997,0.691694239314092,0.126046449000968,0.234822909702573,0.126316836989174,0.695451761165987,0.514425268880938,-0.222659572031139,0.474996483323746,0.251665180135075,0.352620527281533,-0.270036824522976,0.0133775422116103,0.267687443794043,0.686813756504701,0.549667636868839,0.604852619794976,0.576206850755078,-0.475513721868203
