"","ENSG_id","logFC","adj.P.Val","logrank.pvalue","beta","HR","CI","wald.test","HR.pvalue","Symbol"
"445","ENSG00000279427.1",3.94538628641596,1.58679604195816e-44,0.572845327007804,0.024,1," (0.908-1.16)",0.15,0.697,"RP11-132F7.2"
"446","ENSG00000279453.1",-1.41591907643889,5.19307592844286e-37,0.404678631556118,0.12,1.1," (0.889-1.43)",0.99,0.319,"RP3-425C14.4"
"447","ENSG00000279528.1",0.292574302175131,0.00303156241616893,0.205793567484971,-0.045,0.96," (0.727-1.26)",0.11,0.745,"RP11-1148L6.8"
"448","ENSG00000279672.1",-0.577285175049303,7.64541836727279e-07,0.213180392468396,0.19,1.2," (0.998-1.47)",3.75,0.0527,"CMB9-55F22.1"
"449","ENSG00000280088.1",-0.449151641000797,1.25799238269992e-07,0.854663902681155,0.055,1.1," (0.766-1.46)",0.11,0.736,"RP11-135F9.3"
"450","ENSG00000280099.1",-1.95116354273908,3.85851401738793e-44,0.83768241440471,-0.0046,1," (0.801-1.24)",0,0.967,"RP11-33E12.2"
"451","ENSG00000280120.1",-0.613652156610727,5.62695719693171e-11,0.303820826617865,0.0028,1," (0.8-1.26)",0,0.981,"RP11-546D6.3"
"452","ENSG00000280128.1",-0.970481706850773,3.35906420569732e-22,0.0294197604303938,0.17,1.2," (0.933-1.52)",1.97,0.161,"XXbac-BPG283O16.9"
"453","ENSG00000280202.1",1.45726621995148,8.06663521952466e-23,0.506460134770729,-0.023,0.98," (0.845-1.13)",0.1,0.752,"RP5-1180D12.1"
"454","ENSG00000280206.1",0.683537017968031,4.30066717163148e-10,0.622448065883137,0.031,1," (0.747-1.42)",0.03,0.852,"CTB-193M12.5"
"455","ENSG00000280798.1",-1.54304642865724,2.47253901896331e-53,0.456662128490927,0.25,1.3," (0.888-1.87)",1.79,0.181,"LINC00294"
"456","ENSG00000281332.1",-0.354785457792828,0.000116401969403935,0.312157215168372,0.16,1.2," (0.915-1.51)",1.59,0.207,"LINC00997"
"457","ENSG00000281404.1",-1.46023973784728,3.87939290850131e-26,0.869631620642596,0.12,1.1," (0.958-1.32)",2.04,0.153,"LINC01176"
"458","ENSG00000281468.1",0.0617555251529291,0.607411948294323,0.835443101088493,0.079,1.1," (0.955-1.23)",1.53,0.217,"CTC-459F4.9"
"459","ENSG00000281649.1",0.487806623890043,3.48029819461874e-07,0.455711319439006,0.034,1," (0.724-1.48)",0.03,0.853,"EBLN3"
