term beta HR CI wald.test HR.pvalue
1 stageii 1.01587244451488 2.76177183930008 0.635410098470738-12.0038754667388 1.3550643287139 0.175397062485938
2 stageiii 1.66435154582237 5.28224684391402 1.23629113231786-22.5692241824361 2.24623947305361 0.0246886731388811
3 stageiv 2.79134667145708 16.3029597560871 3.85338754211852-68.9747641272723 3.79295728808667 0.000148863769451705
86 TNRC6C.AS1 0.25 1.3  (1.08-1.51) 8.46 0.00364
87 PSORS1C3 0.074 1.1  (0.975-1.19) 2.13 0.145
88 ZNRD1.AS1 0.0022 1  (0.478-2.1) 0 0.995
89 STARD7.AS1 0.31 1.4  (0.917-2.03) 2.35 0.125
90 MAMDC2.AS1 -0.5 0.6  (0.0307-11.9) 0.11 0.74
91 FAM201A 0.088 1.1  (0.808-1.48) 0.33 0.565
92 ATP6V0E2.AS1 0.98 2.7  (0.927-7.65) 3.31 0.069
93 LINC00654 0.041 1  (0.893-1.21) 0.27 0.605
94 LOH12CR2 0.68 2  (0.625-6.18) 1.34 0.248
95 C1RL.AS1 0.042 1  (0.858-1.27) 0.18 0.673
96 SRRM2.AS1 0.77 2.2  (0.289-16.1) 0.56 0.454
97 HCP5 -0.011 0.99  (0.969-1.01) 1.2 0.274
98 THUMPD3.AS1 0.037 1  (0.914-1.18) 0.33 0.568
99 LINC01089 0.19 1.2  (0.989-1.47) 3.44 0.0637
100 C1orf220 0.46 1.6  (0.764-3.3) 1.54 0.215
101 FIRRE 0.19 1.2  (0.951-1.53) 2.39 0.122
102 LIPE.AS1 0.39 1.5  (0.852-2.55) 1.93 0.165
103 LINC00998 0.032 1  (0.99-1.08) 2.19 0.139
104 APTR 0.18 1.2  (1.07-1.34) 9.93 0.00163
105 VAC14.AS1 -0.46 0.63  (0.216-1.84) 0.71 0.4
106 KANSL1.AS1 -0.013 0.99  (0.883-1.1) 0.05 0.826
107 MEG3 0.03 1  (0.898-1.18) 0.18 0.669
108 POLR2J4 0.94 2.6  (1.38-4.73) 8.88 0.00288
109 HLA.F.AS1 0.21 1.2  (0.816-1.87) 1 0.318
110 DHRS4.AS1 -0.02 0.98  (0.909-1.06) 0.27 0.6
111 MIR17HG -0.05 0.95  (0.806-1.12) 0.35 0.555
112 MCM3AP.AS1 0.081 1.1  (0.765-1.54) 0.21 0.648
113 LINC01356 0.59 1.8  (1.14-2.83) 6.46 0.011
114 LINC00955 0.74 2.1  (0.639-6.92) 1.49 0.222
115 PP14571 0.57 1.8  (1.15-2.69) 6.83 0.00896
116 LINC00339 -0.016 0.98  (0.903-1.07) 0.13 0.722
117 FLJ35934 -0.032 0.97  (0.0726-12.9) 0 0.981
118 PPP3CB.AS1 0.047 1  (0.746-1.47) 0.07 0.786
119 MEG9 1.8 6.2  (0.137-281) 0.88 0.348
120 LINC00473 -0.24 0.79  (0.107-5.84) 0.05 0.817
121 NUTM2A.AS1 0.087 1.1  (0.833-1.43) 0.4 0.526
122 LINC00630 0.027 1  (0.609-1.73) 0.01 0.919
