"ENSG_id","beta","HR","CI","wald.test","HR.pvalue","Symbol"
"ENSG00000248008.2",-0.19,0.82," (0.514-1.32)",0.65,0.419,"DYNLL1-AS1"
"ENSG00000272221.1",-0.081,0.92," (0.795-1.07)",1.16,0.282,"XXbac-BPG181B23.7"
"ENSG00000260136.4",0.12,1.1," (0.819-1.56)",0.56,0.453,"CTD-2270L9.4"
"ENSG00000227695.4",-0.042,0.96," (0.757-1.22)",0.12,0.73,"DNMBP-AS1"
"ENSG00000251603.1",-0.0076,0.99," (0.918-1.07)",0.04,0.849,"RP11-164P12.4"
"ENSG00000259768.5",0.12,1.1," (0.818-1.56)",0.54,0.461,"RP5-991G20.1"
"ENSG00000271976.1",-0.06,0.94," (0.681-1.3)",0.13,0.718,"RP11-884K10.7"
"ENSG00000258404.1",-0.05,0.95," (0.866-1.04)",1.1,0.295,"RP11-1029J19.5"
"ENSG00000260260.1",-0.0075,0.99," (0.801-1.23)",0,0.945,"SNHG19"
"ENSG00000260563.3",0.33,1.4," (1.09-1.76)",7.3,0.00688,"RP13-516M14.1"
"ENSG00000231721.5",0.11,1.1," (0.916-1.36)",1.19,0.276,"LINC-PINT"
"ENSG00000225470.5",0.05,1.1," (0.766-1.44)",0.1,0.756,"JPX"
"ENSG00000247092.5",0.15,1.2," (0.883-1.53)",1.14,0.286,"SNHG10"
"ENSG00000259704.1",-0.079,0.92," (0.838-1.02)",2.45,0.117,"CTD-3094K11.1"
"ENSG00000228265.4",0.085,1.1," (0.834-1.42)",0.39,0.532,"RALY-AS1"
"ENSG00000262251.1",0.34,1.4," (1.11-1.79)",7.74,0.00541,"RP11-199F11.2"
"ENSG00000229539.1",0.13,1.1," (0.945-1.37)",1.87,0.171,"RP11-119B16.2"
"ENSG00000273478.1",0.12,1.1," (0.883-1.44)",0.92,0.337,"RP11-465N4.5"
"ENSG00000230163.1",0.32,1.4," (0.979-1.92)",3.36,0.0666,"RP5-997D16.2"
"ENSG00000257605.2",0.39,1.5," (1.08-2.03)",5.99,0.0144,"RP11-680A11.5"
"ENSG00000279528.1",-0.045,0.96," (0.727-1.26)",0.11,0.745,"RP11-1148L6.8"
"ENSG00000234171.2",0.078,1.1," (0.798-1.46)",0.25,0.616,"RNASEH1-AS1"
"ENSG00000179406.6",0.33,1.4," (1.12-1.73)",8.72,0.00315,"LINC00174"
"ENSG00000233903.2",0.063,1.1," (0.785-1.45)",0.16,0.686,"Z83851.4"
"ENSG00000257270.1",0.13,1.1," (0.987-1.31)",3.17,0.0751,"RP11-521B24.5"
"ENSG00000242516.1",-0.0049,1," (0.922-1.07)",0.02,0.9,"LINC00960"
"ENSG00000270069.1",0.13,1.1," (0.964-1.35)",2.33,0.127,"MIR222HG"
"ENSG00000232445.1",-0.047,0.95," (0.856-1.06)",0.73,0.394,"RP11-132A1.4"
"ENSG00000258297.1",0.058,1.1," (0.826-1.36)",0.21,0.65,"RP11-658F2.8"
"ENSG00000237361.2",-0.03,0.97," (0.912-1.03)",0.95,0.331,"TUSC8"
"ENSG00000267475.1",0.068,1.1," (0.871-1.31)",0.41,0.52,"CTD-2538C1.2"
"ENSG00000272763.1",-0.037,0.96," (0.841-1.1)",0.29,0.591,"RP11-357H14.17"
"ENSG00000258474.1",-0.061,0.94," (0.818-1.08)",0.73,0.392,"RP11-187E13.1"
"ENSG00000258919.1",0.018,1," (0.898-1.15)",0.08,0.78,"RP11-1029J19.4"
"ENSG00000234155.1",-0.086,0.92," (0.794-1.06)",1.34,0.246,"RP11-30P6.6"
"ENSG00000261804.1",-0.031,0.97," (0.891-1.06)",0.5,0.479,"RP11-44F14.2"
"ENSG00000254560.4",0.049,1.1," (0.965-1.14)",1.28,0.258,"BBOX1-AS1"
"ENSG00000270372.1",-0.0073,0.99," (0.959-1.03)",0.17,0.676,"RP11-109M17.2"
"ENSG00000214039.7",-0.027,0.97," (0.929-1.02)",1.31,0.253,"RP11-474D1.3"
"ENSG00000258738.1",0.039,1," (0.82-1.32)",0.11,0.745,"RP11-73E17.2"
"ENSG00000281468.1",0.079,1.1," (0.955-1.23)",1.53,0.217,"CTC-459F4.9"
"ENSG00000269899.1",-0.063,0.94," (0.822-1.07)",0.86,0.355,"RP11-589N15.2"
"ENSG00000228393.3",0.078,1.1," (0.92-1.27)",0.89,0.345,"LINC01004"
"ENSG00000278834.1",0.036,1," (0.791-1.36)",0.07,0.796,"RP11-458J1.1"
"ENSG00000280206.1",0.031,1," (0.747-1.42)",0.03,0.852,"CTB-193M12.5"
"ENSG00000237476.1",0.045,1," (0.838-1.31)",0.16,0.689,"XXbac-B135H6.15"
"ENSG00000270010.1",0.052,1.1," (0.9-1.23)",0.42,0.517,"CTD-2132N18.4"
"ENSG00000269888.1",-0.0055,0.99," (0.888-1.11)",0.01,0.924,"RP11-3P17.5"
"ENSG00000267565.1",0.00047,1," (0.899-1.11)",0,0.993,"CTC-559E9.8"
"ENSG00000203644.3",0.037,1," (0.835-1.29)",0.11,0.74,"RP11-332M2.1"
"ENSG00000247240.6",-0.07,0.93," (0.663-1.31)",0.16,0.687,"UBL7-AS1"
"ENSG00000231074.7",0.079,1.1," (0.77-1.52)",0.21,0.648,"HCG18"
"ENSG00000232931.4",0.12,1.1," (0.947-1.35)",1.86,0.173,"LINC00342"
"ENSG00000262692.1",0.071,1.1," (0.955-1.21)",1.42,0.234,"CTD-3195I5.3"
"ENSG00000277496.1",0.012,1," (0.834-1.23)",0.01,0.904,"RP11-93B14.9"
"ENSG00000276855.1",-0.031,0.97," (0.871-1.08)",0.33,0.563,"CTD-3157E16.2"
"ENSG00000242207.1",-0.0046,1," (0.895-1.11)",0.01,0.932,"HOXB-AS4"
"ENSG00000259877.2",-0.1,0.9," (0.726-1.12)",0.88,0.348,"RP11-46C24.7"
"ENSG00000223768.1",0.21,1.2," (0.956-1.58)",2.58,0.108,"LINC00205"
"ENSG00000273137.1",0.22,1.2," (1.03-1.51)",4.89,0.027,"RP3-402G11.28"
"ENSG00000245060.5",0.16,1.2," (0.878-1.58)",1.18,0.277,"LINC00847"
"ENSG00000236935.1",-0.025,0.97," (0.914-1.04)",0.59,0.441,"AP003774.1"
"ENSG00000275580.1",0.059,1.1," (0.9-1.25)",0.49,0.483,"RP11-295H24.4"
"ENSG00000249673.5",0.12,1.1," (0.767-1.66)",0.38,0.538,"NOP14-AS1"
"ENSG00000234160.1",0.11,1.1," (0.863-1.44)",0.7,0.404,"RP11-613M10.6"
"ENSG00000225791.5",-0.14,0.87," (0.647-1.17)",0.88,0.347,"TRAM2-AS1"
"ENSG00000265519.1",-0.0084,0.99," (0.909-1.08)",0.04,0.85,"CTD-3157E16.1"
"ENSG00000230316.5",0.036,1," (0.974-1.1)",1.28,0.258,"FEZF1-AS1"
"ENSG00000182648.10",0.15,1.2," (0.961-1.39)",2.38,0.123,"LINC01006"
"ENSG00000260265.1",-0.009,0.99," (0.846-1.16)",0.01,0.911,"RP11-44F21.5"
"ENSG00000234608.6",0.11,1.1," (0.718-1.74)",0.24,0.622,"MAPKAPK5-AS1"
"ENSG00000264247.1",-0.095,0.91," (0.635-1.3)",0.27,0.602,"LINC00909"
"ENSG00000225177.4",0.15,1.2," (0.919-1.48)",1.61,0.205,"RP11-390P2.4"
"ENSG00000254290.1",-0.077,0.93," (0.82-1.05)",1.55,0.214,"RP11-150O12.3"
"ENSG00000260442.4",0.017,1," (0.875-1.18)",0.05,0.827,"ATP2A1-AS1"
"ENSG00000236850.4",0.13,1.1," (0.858-1.52)",0.82,0.365,"BMS1P20"
"ENSG00000237310.1",0.23,1.3," (1.01-1.56)",4.28,0.0386,"GS1-124K5.4"
"ENSG00000255474.1",4.5e-06,1," (0.888-1.13)",0,1,"RP11-234B24.2"
"ENSG00000256940.1",0.088,1.1," (0.897-1.33)",0.77,0.38,"RP11-783K16.5"
"ENSG00000242861.1",0.14,1.1," (0.935-1.41)",1.73,0.188,"RP11-285F7.2"
"ENSG00000272720.1",0.14,1.1," (0.951-1.38)",2.06,0.152,"CTA-228A9.3"
"ENSG00000228037.1",-0.033,0.97," (0.828-1.13)",0.18,0.672,"RP3-395M20.9"
"ENSG00000233223.2",0.42,1.5," (1.2-1.91)",12.2,0.00048,"AC113189.5"
"ENSG00000250328.4",0.0087,1," (0.932-1.09)",0.05,0.828,"MGC32805"
"ENSG00000276317.1",-0.052,0.95," (0.84-1.07)",0.69,0.406,"RP11-93B14.10"
"ENSG00000245648.1",-0.14,0.87," (0.796-0.958)",8.29,0.00399,"RP11-277P12.20"
"ENSG00000278266.1",-0.054,0.95," (0.879-1.02)",1.95,0.163,"RP11-575F12.3"
"ENSG00000272579.1",0.0041,1," (0.849-1.19)",0,0.962,"RP11-101E13.5"
